         instance    w    h  lots  land_cells  river_cells  preserve_cells  aptitude_classes  connected_components  batch_size  crossover_rate  keep_rate  new_rate     time  generations                  seed  num_new_solutions  num_crossovers  num_mutations  num_solutions_explored  generation_best  time_to_best  time_avg  time_std_dev  time_initial  value_best  value_worst  value_avg  value_std_dev  value_initial  max_area_best  max_area_worst  max_area_avg  max_area_std_dev  max_area_initial  min_area_best  min_area_worst  min_area_avg  min_area_std_dev  min_area_initial  rivers_best  rivers_worst  rivers_avg  rivers_std_dev  rivers_initial  river_violations_best  river_violations_worst  river_violations_avg  river_violations_std_dev  river_violations_initial  size_ratio_best  size_ratio_worst  size_ratio_avg  size_ratio_std_dev  size_ratio_initial  convexity_best  convexity_worst  convexity_avg  convexity_std_dev  convexity_initial  num_empty_crossover_lots  num_disconnected_crossover_lots  num_empty_mutation_lots  num_disconnected_mutation_lots
        fortaleza  449  250    40       23231         1388           87631                 4                     1         256            0.59       0.85      0.05  1800.00        16300  14042509982687723942                885           81209          81209                  163303            14234       1575.60      0.11          0.05          1.01      924.92      5013.35    3221.23        1670.69        5013.35            540             358        356.91            120.74               358            608            1001        760.56            124.96              1001            0          6301       55.67          358.54            6301                      0                      27                  0.62                      2.74                        27             1.13              2.80            3.12                8.70                2.80            1.18             1.25           1.22               0.02               1.25                     35482                           184885                        0                               0
200x200k100s45221  200  200   100       37594         2241             165                 5                     7         256            0.59       0.85      0.05  1800.00         3779  14042689061267658156                240           18817          18817                   37874              536        259.73      0.48          0.17          2.73     4270.99      7826.04    4052.99         878.12        6134.44            148             189        140.27             44.81               169            584             958        602.07             94.77               739           16          5274      155.40          344.20            3770                      1                      37                  4.15                      5.70                        28             3.95              5.07            4.75                1.89                4.37            1.26             1.32           1.27               0.02               1.34                     16804                           142999                        0                               0
 200x200k20s45221  200  200    20       37196         2241             563                 5                     7         256            0.59       0.85      0.05  1800.00        13839  14040829707385417161                840           68920          68919                  138679              363         50.01      0.13          0.09          1.56     5735.84     44262.56    9065.61        4012.57       19280.56           1441            1075       1243.53            245.51              1159           2279            4719       2393.56            121.96              3349            0          4502       34.01          190.60            2992                      0                       7                  0.48                      1.16                         6             1.58              4.39            2.15                1.77                2.89            1.27             1.39           1.23               0.04               1.37                      3940                           123735                        0                               0
 200x200k40s45221  200  200    40       37196         2241             563                 5                     7         256            0.59       0.85      0.05  1800.00         7996  14042700149184862201                450           39832          39832                   80114             7325       1648.90      0.23          0.11          2.05     1388.81     12976.99    5440.49        3645.36       13976.92            724             610        597.67            153.57               571           1202            1677       1281.72            119.89              1789            0          3895       94.08          307.86            3372                      0                      18                  0.95                      2.25                        14             1.66              2.75            2.68                2.86                3.13            1.20             1.33           1.24               0.03               1.31                      8075                           124158                        0                               0
 200x200k60s45221  200  200    60       37196         2241             563                 5                     7         256            0.59       0.85      0.05  1800.00         5643  14042699288294050871                330           28110          28110                   56550              482        144.15      0.32          0.13          2.39     1742.64      9688.32    4266.64        2622.48        6960.77            450             348        354.61            113.38               384            795            1236        879.93            100.76               988            0          4507       86.50          329.34            3493                      0                      22                  1.87                      3.64                        23             1.77              3.55            3.17                3.54                2.57            1.26             1.31           1.25               0.03               1.27                     10087                           128082                        0                               0
 200x200k80s45221  200  200    80       37196         2241             563                 5                     7         256            0.59       0.85      0.05  1800.00         4335  14042701505069021221                210           21607          21607                   43424             3360       1402.76      0.42          0.14          2.77     1543.17      9202.38    3210.08        1382.47        8424.27            366             122        255.42             74.12               259            606             957        664.52             83.41               887            0          5194       83.54          328.42            3112                      0                      32                  1.88                      4.61                        26             1.66              7.84            3.29                4.90                3.42            1.22             1.30           1.26               0.02               1.30                     10889                           128362                        0                               0
300x300k100s94113  300  300   100       81694         8189             117                 6                     4         256            0.59       0.85      0.05  1800.00         1547  14042675564152860453                105            7705           7705                   15515              143        176.70      1.16          0.70         11.02     5375.78     12454.52    9696.90        3762.33       11073.42            493             347        400.70            100.60               386           1065            1355       1430.74            355.44              1363            0          9624      195.14          760.54            8867                      0                      32                  4.93                      7.24                        34             2.16              3.90            4.09                2.67                3.53            1.25             1.33           1.31               0.05               1.33                      6091                            77497                        0                               0
 300x300k20s94113  300  300    20       81694         8189             117                 6                     4         256            0.59       0.85      0.05  1800.00         5816  14042698796443733823                240           29003          29003                   58246              209         83.66      0.31          0.25          5.10    15915.94     87498.25   75747.84       25533.30       61851.85           2835            1410       1884.37            637.19              2003           5222            7720       7542.99            695.39              7720            0         11710     1461.90         1263.33            5774                      0                       9                  0.92                      0.87                         4             1.84              5.48            5.27                7.07                3.85            1.27             1.47           1.35               0.07               1.38                      1426                            78746                        0                               0
 300x300k40s94113  300  300    40       81694         8189             117                 6                     4         256            0.59       0.85      0.05  1800.00         3117  14042701496294333290                225           15514          15513                   31252              754        414.31      0.58          0.44          6.78     9279.81     47692.98   22747.64        8723.85       28820.20           1412             810       1151.76            287.95               662           2648            4351       3841.82            960.43              3756            0         16876      174.33          719.69            7429                      0                      19                  2.23                      3.09                        13             1.88              5.37            3.99                3.18                5.67            1.32             1.31           1.33               0.03               1.38                      5056                            73404                        0                               0
 300x300k60s94113  300  300    60       81694         8189             117                 6                     4         256            0.59       0.85      0.05  1800.00         2318  14032480060835149100                165           11537          11537                   23239             2109       1638.88      0.78          0.55          8.16     7501.07     26546.79   12732.82        4516.91       24286.32            943             581        695.54            227.48               724           1810            2746       2036.32            226.98              2583            0         10429      133.98          654.52            7411                      0                      20                  1.59                      3.49                        17             1.92              4.73            3.76                3.16                3.57            1.26             1.31           1.31               0.03               1.32                      7131                            74989                        0                               0
 300x300k80s94113  300  300    80       81694         8189             117                 6                     4         256            0.59       0.85      0.05  1800.00         1766  14042700157234210323                135            8788           8788                   17711              512        565.65      1.02          0.67          9.37     4688.07     20224.34   10907.56        5120.88       13661.94            700             405        515.38            202.87               532           1352            2268       1722.26            353.59              1604            0          7875      178.89          692.86            6770                      0                      27                  3.50                      5.43                        26             1.93              5.60            4.58                3.63                3.02            1.28             1.31           1.30               0.04               1.34                      5690                            72760                        0                               0
400x400k100s16692  400  400   100      153235         6765               0                 5                     2         256            0.59       0.85      0.05  1800.00          583  14040701622054122370                 45            2905           2904                    5854              453       1381.81      3.08          2.39         35.48     7373.90     23026.25    8409.83        1933.16       23026.25           1094             771       1037.65            153.74               771           1777            2820       1885.21            174.84              2820            0          3701       23.67          204.49            3701                      0                      15                  0.37                      1.93                        15             1.62              3.66            1.95                0.92                3.66            1.25             1.38           1.27               0.03               1.38                      1017                            34915                        0                               0
 400x400k20s16692  400  400    20      153235         6765               0                 5                     2         256            0.59       0.85      0.05  1800.00         2323  14040822018155741077                135           11571          11571                   23277              766        610.14      0.77          0.85         14.39    26917.72     80200.41   30864.12        8576.58      121140.71           6761            4486       6833.87            431.69              5010           8998           10245       9138.20            385.52             12849            0          4916       18.10          212.34            3416                      0                       5                  0.06                      0.50                         6             1.33              2.28            1.36                0.51                2.56            1.35             1.37           1.32               0.04               1.44                       415                            60036                        0                               0
 400x400k40s16692  400  400    40      153235         6765               0                 5                     2         256            0.59       0.85      0.05  1800.00         1342  14041012114723155757                 90            6683           6682                   13455              561        784.63      1.34          1.32         20.62    13293.39     46954.73   19186.09        7596.71       47338.99           3184            2446       3084.74            338.28              2452           4486            6133       4619.27            518.87              7536            0          3758       18.49          165.05            1512                      0                      10                  0.19                      0.97                         9             1.41              2.51            1.54                0.47                3.07            1.31             1.43           1.31               0.03               1.46                       677                            44869                        0                               0
